Observation ID,Common Name,Scientific Name,Family,Genus,Observed Length (m),Observed Weight (kg),Age Class,Sex,Date of Observation,Country/Region,Habitat Type,Conservation Status,Observer Name,Notes
1,Morelet's Crocodile,Crocodylus moreletii,Crocodylidae,Crocodylus,1.9,62,Adult,Male,31-03-2018,Belize,Swamps,Least Concern,Allison Hill,Cause bill scientist nation opportunity.
2,American Crocodile,Crocodylus acutus,Crocodylidae,Crocodylus,4.09,334.5,Adult,Male,28-01-2015,Venezuela,Mangroves,Vulnerable,Brandon Hall,Ago current practice nation determine operation speak according.
3,Orinoco Crocodile,Crocodylus intermedius,Crocodylidae,Crocodylus,1.08,118.2,Juvenile,Unknown,7/12/2010,Venezuela,Flooded Savannas,Critically Endangered,Melissa Peterson,Democratic shake bill here grow gas enough analysis least by two.
4,Morelet's Crocodile,Crocodylus moreletii,Crocodylidae,Crocodylus,2.42,90.4,Adult,Male,1/11/2019,Mexico,Rivers,Least Concern,Edward Fuller,Officer relate animal direction eye bag do.
5,Mugger Crocodile (Marsh Crocodile),Crocodylus palustris,Crocodylidae,Crocodylus,3.75,269.4,Adult,Unknown,15-07-2019,India,Rivers,Vulnerable,Donald Reid,Class great prove reduce raise author play move each left establish understand read detail.
6,Mugger Crocodile (Marsh Crocodile),Crocodylus palustris,Crocodylidae,Crocodylus,2.64,137.4,Adult,Male,8/6/2023,India,Reservoirs,Vulnerable,Randy Brown,Source husband at tree note responsibility defense.
7,Siamese Crocodile,Crocodylus siamensis,Crocodylidae,Crocodylus,2.85,157.7,Subadult,Male,10/12/2010,Thailand,Slow Rivers,Critically Endangered,Dr. Marvin Thomas Jr.,Much section investment on gun young catch management sense technology check civil quite others his other life edge.
8,Congo Dwarf Crocodile,Osteolaemus osborni,Crocodylidae,Osteolaemus,0.35,4.7,Juvenile,Unknown,3/8/2008,Central African Republic,Forest Swamps,Data Deficient,Terri Frazier,Race Mr environment political born itself law west.
9,West African Crocodile,Crocodylus suchus,Crocodylidae,Crocodylus,3.05,201.2,Adult,Male,16-04-2020,Sudan,Lakes,Least Concern,Deborah Mason,Medical blood personal success medical current hear claim well.
10,Morelet's Crocodile,Crocodylus moreletii,Crocodylidae,Crocodylus,3.39,197.2,Adult,Male,21-05-2016,Mexico,Lagoons,Least Concern,Tamara George,Affect upon these story film around there water beat magazine attorney set.
11,West African Dwarf Crocodile,Osteolaemus tetraspis,Crocodylidae,Osteolaemus,1.22,15.8,Adult,Male,8/6/2018,Liberia,Small Streams,Vulnerable,Betty Alvarez,Close month parent who up sense ready.
12,Morelet's Crocodile,Crocodylus moreletii,Crocodylidae,Crocodylus,1.84,60.7,Adult,Male,19-10-2019,Belize,Lagoons,Least Concern,Jennifer Powers,Just military building different full open discover detail.
13,Siamese Crocodile,Crocodylus siamensis,Crocodylidae,Crocodylus,2.63,121.3,Subadult,Unknown,16-02-2015,Cambodia,Slow Rivers,Critically Endangered,Mark Perez,Teacher audience draw protect Democrat.
14,American Crocodile,Crocodylus acutus,Crocodylidae,Crocodylus,3.65,217.7,Adult,Male,7/7/2006,Mexico,Mangroves,Vulnerable,Timothy Duncan,Drug list imagine behind probably great in tell.
15,West African Dwarf Crocodile,Osteolaemus tetraspis,Crocodylidae,Osteolaemus,1.32,19.2,Adult,Female,14-06-2010,Côte d'Ivoire,Small Streams,Vulnerable,Matthew Lucas,I fund technology eat couple large.
16,Morelet's Crocodile,Crocodylus moreletii,Crocodylidae,Crocodylus,2,67.9,Adult,Unknown,18-03-2007,Mexico,Rivers,Least Concern,Donald Wright,Kitchen technology nearly anything yourself structure why.
17,Morelet's Crocodile,Crocodylus moreletii,Crocodylidae,Crocodylus,1.98,61.5,Juvenile,Unknown,14-03-2007,Mexico,Lagoons,Least Concern,Sarah Martin,Loss ten total clearly able hospital unit size expect recent room situation product main couple design around.
18,Nile Crocodile,Crocodylus niloticus,Crocodylidae,Crocodylus,4.37,565,Adult,Female,13-10-2025,Sudan,Reservoirs,Least Concern,Amy Edwards,Once me system church whether bag.
19,Borneo Crocodile (disputed),Crocodylus raninus,Crocodylidae,Crocodylus,1.07,31.1,Juvenile,Unknown,28-02-2017,Indonesia (Borneo),Estuarine Systems,Data Deficient,Kurt Leonard,Identify walk now often always.
20,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,1.55,350.9,Juvenile,Male,26-12-2017,Philippines,Estuaries,Least Concern,Matthew Cunningham,Various daughter respond draw how public feel.
21,Borneo Crocodile (disputed),Crocodylus raninus,Crocodylidae,Crocodylus,2.52,89.6,Subadult,Unknown,24-09-2011,Malaysia (Borneo),Estuarine Systems,Data Deficient,Paul Jones,Perform none beyond Mrs media car give attention.
22,Nile Crocodile,Crocodylus niloticus,Crocodylidae,Crocodylus,4.65,759.8,Adult,Male,16-04-2013,Tanzania,Lakes,Least Concern,Dustin Kim,Region particularly would pressure account stage federal professional voice care break blood network evening painting response.
23,Congo Dwarf Crocodile,Osteolaemus osborni,Crocodylidae,Osteolaemus,1.77,36,Adult,Male,7/12/2010,Congo (DRC),Forest Swamps,Data Deficient,Mark Baker,Economy traditional anything plant stop analysis four capital woman claim kind relationship night born war real chance.
24,Cuban Crocodile,Crocodylus rhombifer,Crocodylidae,Crocodylus,2.44,107.9,Subadult,Male,27-01-2007,Cuba,Swamps,Critically Endangered,Jacob Tran,Camera final together someone team together.
25,Nile Crocodile,Crocodylus niloticus,Crocodylidae,Crocodylus,3.18,342.1,Juvenile,Male,28-03-2017,Kenya,Marshes,Least Concern,David Garcia,This image per choice upon ten wish specific thing agent say forward us soon ten specific environment skin.
26,Cuban Crocodile,Crocodylus rhombifer,Crocodylidae,Crocodylus,0.34,42.4,Hatchling,Unknown,23-04-2007,Cuba,Swamps,Critically Endangered,Shane Garrison,Current truth glass star the development process.
27,Mugger Crocodile (Marsh Crocodile),Crocodylus palustris,Crocodylidae,Crocodylus,3.39,174.9,Adult,Female,20-07-2022,Pakistan,Rivers,Vulnerable,Donald Jones,Go meeting quickly such former agree theory end oil.
28,Orinoco Crocodile,Crocodylus intermedius,Crocodylidae,Crocodylus,3.94,367.9,Subadult,Male,21-10-2019,Venezuela,Flooded Savannas,Critically Endangered,Mrs. Linda Reed,Job worker break tonight couple and job mind southern rather vote.
29,Siamese Crocodile,Crocodylus siamensis,Crocodylidae,Crocodylus,3.22,196.6,Adult,Unknown,5/6/2012,Cambodia,Slow Rivers,Critically Endangered,Christina Reynolds,Perhaps professional by tonight medical project for recent never court.
30,Orinoco Crocodile,Crocodylus intermedius,Crocodylidae,Crocodylus,4.71,576.6,Adult,Female,7/8/2018,Venezuela,Flooded Savannas,Critically Endangered,Jamie Adkins,Past feeling nature a expert involve oil.
31,Siamese Crocodile,Crocodylus siamensis,Crocodylidae,Crocodylus,2.04,80.2,Adult,Unknown,16-01-2020,Thailand,Swamps,Critically Endangered,Julie Ramos,Memory soldier where save probably exist professional people behavior weight.
32,American Crocodile,Crocodylus acutus,Crocodylidae,Crocodylus,4.11,324.4,Adult,Female,10/1/2014,USA (Florida),Mangroves,Vulnerable,Eric Drake,Agency each little sure authority increase picture create recent manager.
